id;tipologia;posizione;data;fkurl
1;Reverse-engineered Soft;killer;District Facilitator;51033
2;THX;bandwidth West Virginia;Implementation Concrete;83589
3;Checking Account deposit;synthesize;strategize Automated Swiss Franc;24868
4;Frozen transitional Netherlands;Auto Loan Account quantifying;Bhutan;44063
5;software Incredible encryption;Netherlands Antillian Guilder Savings Account payment;Credit Card Account RSS;29577
6;Outdoors granular;Avon Intranet quantifying;Investor logistical Awesome Steel Pants;95078
7;invoice;Assistant;Fish Corporate solid state;30194
8;Home;matrix tertiary;Future;47657
9;Wooden engineer Buckinghamshire;Savings Account Facilitator;SAS Tasty;79454
10;ADP;Total;Colorado Mountains;16670
